HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,0,Tx,Horizontal,2019/03/13,16:44:58
BS1,BS2,RT1
-10,-10,0.0
AO settings - B2AO0,...,B2AO31,B1AO0,...,B1AO31 
2.8010,2.3095,5.8183,0.6437,3.8653,3.4733,3.2132,1.5288,3.6697,1.3968,3.4660,4.7084,2.2577,2.2737,1.6186,0.1757,5.7644,2.1059,2.5940,0.8820,0.9684,1.1690,4.5157,5.2557,2.5654,2.9544,1.4950,2.2084,5.7939,2.5308,0.7750,1.5193,5.2077,4.8064,4.7818,4.2549,1.3184,4.1070,4.3914,1.7931,2.9452,5.2345,2.1536,4.9335,0.5984,1.8171,1.3235,3.2385,1.9866,1.7833,2.1510,2.9001,5.6687,5.6525,5.8479,3.7128,4.9432,0.9743,0.7073,2.4969,3.9856,5.1438,4.6600,1.6686
Freq,S11dB,S11deg,S21dB,S21deg,S12dB,S12deg,S22dB,S22deg
7.80000000000E+10,-1.33514061409E+01,-7.90885791650E+01,-3.67340269998E+01,+8.91419328157E+01,-3.68345812603E+01,+1.06369824908E+02,-2.27536951730E+01,+1.29688073030E+02
7.80500000000E+10,-1.33732476570E+01,-8.13549699450E+01,-3.61312646214E+01,+7.90311300946E+01,-3.75611068802E+01,+9.27227974682E+01,-2.24361622101E+01,+9.95720420408E+01
7.81000000000E+10,-1.33956212007E+01,-8.35857374488E+01,-3.58996351793E+01,+6.84963795500E+01,-3.64237826997E+01,+8.64922566037E+01,-2.17412721429E+01,+6.90685761942E+01
7.81500000000E+10,-1.33828046379E+01,-8.58581598161E+01,-3.56148505423E+01,+5.96316587331E+01,-3.32842008983E+01,+8.53969861230E+01,-2.06712921896E+01,+4.07151798357E+01
7.82000000000E+10,-1.33195320048E+01,-8.82762262730E+01,-3.54393206386E+01,+4.83670974259E+01,-3.36332513042E+01,+5.33829762196E+01,-1.92919442858E+01,+1.19434672151E+01
7.82500000000E+10,-1.31877048309E+01,-9.09872058566E+01,-3.56618347596E+01,+4.01688147357E+01,-3.43252182655E+01,+4.40624324498E+01,-1.78839864915E+01,-1.54801520255E+01
7.83000000000E+10,-1.30416809966E+01,-9.41344731314E+01,-3.55524694393E+01,+3.20476081848E+01,-3.33408665647E+01,+4.43891855125E+01,-1.63402759012E+01,-4.15684599836E+01
7.83500000000E+10,-1.28471397441E+01,-9.75837147250E+01,-3.52808738670E+01,+2.19606622347E+01,-3.20006281289E+01,+3.84235354305E+01,-1.47643137908E+01,-6.65669729785E+01
7.84000000000E+10,-1.26659779124E+01,-1.01567698580E+02,-3.50632888302E+01,+1.42856268842E+01,-3.21810435068E+01,+4.09146705071E+01,-1.34281698257E+01,-9.09502024140E+01
7.84500000000E+10,-1.25220136027E+01,-1.05821760204E+02,-3.45730149827E+01,+4.30105753761E+00,-3.03346316332E+01,+1.69907358177E+01,-1.23731388424E+01,-1.13105721038E+02
7.85000000000E+10,-1.24437798013E+01,-1.09766365676E+02,-3.42999511646E+01,-4.36510096216E+00,-3.27996973225E+01,+1.07931371192E+01,-1.14310001490E+01,-1.35201024206E+02
7.85500000000E+10,-1.24066268936E+01,-1.13756835667E+02,-3.40108908826E+01,-1.28137600079E+01,-2.12352985242E+01,+2.02482653922E+01,-1.08011334480E+01,-1.55562289429E+02
7.86000000000E+10,-1.24616327241E+01,-1.17791948440E+02,-3.38710548887E+01,-2.06513648212E+01,-3.18139038890E+01,-2.66631979869E+01,-1.01051586241E+01,-1.75002634098E+02
7.86500000000E+10,-1.25957953637E+01,-1.21501501752E+02,-3.37508431259E+01,-2.78794274396E+01,-3.08030458490E+01,+1.31798945010E+00,-9.81230650937E+00,+1.65953301238E+02
7.87000000000E+10,-1.27841124072E+01,-1.24834410278E+02,-3.33311222602E+01,-3.49886470036E+01,-2.90016428228E+01,-4.13428159971E+01,-9.46842300723E+00,+1.47098998593E+02
7.87500000000E+10,-1.29687464647E+01,-1.27903424882E+02,-3.29365689000E+01,-4.32824046144E+01,-3.08022913440E+01,-4.67306318321E+01,-9.28132540203E+00,+1.28318538520E+02
7.88000000000E+10,-1.31755749063E+01,-1.30881896281E+02,-3.23024298602E+01,-5.14368820040E+01,-3.26188731621E+01,-4.48206231093E+01,-9.20406810238E+00,+1.09910153454E+02
7.88500000000E+10,-1.33472918358E+01,-1.33648424234E+02,-3.15038586338E+01,-6.22422585511E+01,-3.00704060918E+01,-3.87753175752E+01,-9.22543940175E+00,+9.09376364346E+01
7.89000000000E+10,-1.34794833716E+01,-1.36539639537E+02,-3.08649269455E+01,-7.24459210331E+01,-3.02246321556E+01,-4.79806567332E+01,-9.43293878683E+00,+7.13264765677E+01
7.89500000000E+10,-1.35587518586E+01,-1.39670447067E+02,-3.01079318393E+01,-8.50127407838E+01,-2.91820324417E+01,-5.80011834863E+01,-9.74810722069E+00,+5.14870180473E+01
7.90000000000E+10,-1.36447661281E+01,-1.42722864390E+02,-2.96537673461E+01,-9.89134905711E+01,-2.98218263951E+01,-7.07832277565E+01,-1.02305666446E+01,+3.11670499789E+01
7.90500000000E+10,-1.36956484098E+01,-1.45440583464E+02,-2.91683971196E+01,-1.12012916252E+02,-2.86562563298E+01,-8.22171220728E+01,-1.09125093458E+01,+1.04211038207E+01
7.91000000000E+10,-1.37121938393E+01,-1.48129856095E+02,-2.87148648619E+01,-1.27288369972E+02,-2.89182989543E+01,-9.94844011674E+01,-1.17759005981E+01,-1.06762479954E+01
7.91500000000E+10,-1.36840382400E+01,-1.50826559292E+02,-2.86597387568E+01,-1.41754543378E+02,-2.85944903477E+01,-1.12200405013E+02,-1.28158691605E+01,-3.23560389793E+01
7.92000000000E+10,-1.36616333276E+01,-1.53236354006E+02,-2.87202228109E+01,-1.55724477530E+02,-2.89004665471E+01,-1.28155695689E+02,-1.39561367493E+01,-5.42973005364E+01
7.92500000000E+10,-1.35988267463E+01,-1.55502440071E+02,-2.88652343421E+01,-1.67421661096E+02,-2.99056916882E+01,-1.35565139581E+02,-1.52422460628E+01,-7.67873144876E+01
7.93000000000E+10,-1.35660774949E+01,-1.57829483315E+02,-2.92581293239E+01,-1.79058200215E+02,-2.95159551208E+01,-1.51288272966E+02,-1.64909863860E+01,-9.96937781626E+01
7.93500000000E+10,-1.35668396402E+01,-1.60060923491E+02,-2.95430898691E+01,+1.71967476467E+02,-3.00908085023E+01,-1.59153882855E+02,-1.77861418299E+01,-1.22116411052E+02
7.94000000000E+10,-1.35421490766E+01,-1.62231702950E+02,-2.97372824171E+01,+1.62578351260E+02,-3.03302626885E+01,-1.66868994664E+02,-1.86807686032E+01,-1.44052778996E+02
7.94500000000E+10,-1.34923759645E+01,-1.64946139053E+02,-3.00005638766E+01,+1.52400245637E+02,-3.02672419421E+01,-1.76726150361E+02,-1.90314191686E+01,-1.66318859271E+02
7.95000000000E+10,-1.35225944659E+01,-1.67888374378E+02,-3.01691994327E+01,+1.43404340845E+02,-3.05915757427E+01,+1.72736416992E+02,-1.89448118087E+01,+1.69113795741E+02
